LetterPair,Algorithm
LU,"[R D: [U, R' D' R]]"
LW,"[R U' R' D R: [U, R D' R']]"
LX,"[R: [R D' R', U']]"
MN,"[R, U' L' U]"
MO,"[R' U: [D2, R U' R']]"
MP,"[R U': [R' U R, D]]"
MU,"[UD R' U': [R U R', D']]"
MV,"[U R' U': [R U R', D']]"
MW,"[D R U': [R' U R, D']]"
MX,"[R U': [R' U R, D']]"
NO,"[U' R' U': [R D' R', U']]"
NP,"[R2 U : [R D R', U2]]"
NU,"[U' R': [R' D R, U']]"
NV,"[U'D' R': [R' D R, U']]"
NW,"[U R : [D', R U' R']]"
NX,"[U'D R': [R' D R, U']]"
OP,"[U': [R', U' L U]]"
OU,"[x': [D2, R U2 R']]"
OV,"[U'D' R': [R' D R, U]]"
OW,"[U R: [D2, R U' R']]"
PU,"[D' R: [R D' R', U']]"
PV,"[D' R D: [U, R' D' R]]"
PW,"[R U' D' : [D2, R' U R]]"
UV,"[U' R' F' : [R U' R', D']]"
UW,"[U' R2: [R2 U R2 U' R2, D]]"
UX,"[x U: [R' D R, U2]]"
VW,"[F' R U': [R' D' R, U2]]"
VX,"[R U' R' U: [R D' R', U2]]"
WX,"[z: [R U2 R', D2]]"
AB,"[Lw': [U, R' D2 R]]"
DB,"[Lw D: [U, R' D' R]]"
QB,"[R: [R D R', U]]"
RB,"[R': [U', R' D' R]]"
SB,"U, [R' D R]"
TB,"R D' R', [U']"
EB,"[R: [R D R', U2]]"
GB,"[D': [U, R' D R]]"
HB,"[D: [U, R' D' R]]"
KB,"R D R', [U']"
LB,"U, [R' D' R]"
NB,"[R': [U2, R' D' R]]"
OB,"U, [R' D2 R]"
PB,"[D: [R D' R', U']]"
UB,"[x': [R U R', D2]]"
VB,"[U' R' D R: [U, R D' R']]"
WB,"[U R D' R': [R' D R, U']]"
XB,"[x: [D2, R' U' R]]"
AD,"[R' D'U': [U', R' D R]]"
QD,"[U' R: [U2, R D R']]"
SD,"U', [R' D R]"
TD,"[U': [U', R D' R']]"
GD,"[D': [U', R' D R]]"
HD,"[D: [U', R' D' R]]"
JD,"[U' R': [R' D' R, U2]]"
KD,"[U': [U', R D R']]"
LD,"U', [R' D' R]"
MD,"[U' R: [U, R D R']]"
ND,"[U' R': [R' D' R, U']]"
OD,"U', [R' D2 R]"
PD,"[D': [U', R' D' R]]"
UD,"[U' x': [D2, R U R']]"
VD,"[D R D' R': [U', R' D R]]"
WD,"[R D' R': [U', R' D R]]"
XD,"[R' D' R : [D, R U' R']]"
RA,"[F: [R' D' R, U2]]"
SA,"U2, [R' D R]"
TA,"[U': [U2, R D' R']]"
EA,"[Lw': [R' D2 R, U2]]"
GA,"[DU': [U2, R D R']]"
HA,"[U'D': [U2, R D' R']]"
JA,"[R D R': [U2, R' D2 R]]"
KA,"[U': [U2, R D R']]"
LA,"U2, [R' D' R]"
MA,"[R' D': [R' D R, U2]]"
OA,"U2, [R' D2 R]"
PA,"[U' D: [U2, R D' R']]"
UA,"[R F' R' U': [U2, R D R']]"
VA,"[D R D' R': [U2, R' D R]]"
WA,"[R D' R': [U2, R' D R]]"
XA,"[D' R D' R': [U2, R' D R]]"
RQ,"U' R' U, [L]"
SQ,"[U R' U': [U, R' D R]]"
TQ,"[R D': [U, R D R']]"
EQ,"[Lw' U: [U2, R D' R']]"
GQ,"[R U R' : [U', R' D' R]]"
HQ,"[R U: [U, R' D R]]"
JQ,"[R: [U, R2' D R2 D' R2']]"
KQ,"[R D: [U, R D R']]"
LQ,"[D' R U : [U, R' D R]]"
MQ,"[U R': [R' D' R, U']]"
OQ,"[U R': [R' D2 R, U']]"
PQ,"[R U: [U, R' D' R]]"
UQ,"[R: [U, R D2 R']]"
VQ,"[D2 R: [U, R D' R']]"
WQ,"[D R: [U, R D' R']]"
XQ,"[R: [U, R D' R']]"
SR,"[R' U' : [R U R', D]]"
TR,"[z: [U2, R' D' R]]"
GR,"U L U', [R]"
HR,"[D R' U': [R U R', D']]"
JR,"[F' U: [U2, R' D R]]"
KR,"[R' U': [U2, R' D' R]]"
LR,"[R' U': [R U R', D']]"
MR,"U L U', [R']"
NR,"[x': [D, R U' R']]"
OR,"[x': [D, R U2 R']]"
PR,"[F: [R U R', D']]"
UR,"[U' R' U: [D, R U' R']]"
VR,"[R U' R': [U2, R' D' R]]"
WR,"[z: [R U R', D2]]"
XR,"[R2 D2: [D, R U' R']]"
TS,"[z': [D', R U' R']]"
ES,"[D R': [R D' R' D, F2]]"
GS,"[U: [R U' R', D]]"
JS,"[U R U: [U2, R' D R]]"
KS,"[DU: [D2, R U' R']]"
LS,"[U R' D: [D2, R U' R']]"
MS,"[R' U: [D, R U' R']]"
NS,"[Lw U2: [U, R D' R']]"
OS,"[UD: [D, R U' R']]"
PS,"[R' U' R: [R' D R, U2]]"
VS,"[UD R D' : [R' D R, U']]"
WS,"[U R : [R U' R', D]]"
XS,"[F': [D2, R U' R']]"
ET,"[Lw': [R' D R, U2]]"
GT,"[U R U': [U', R D' R']]"
HT,"[D2: [D', R U R']]"
JT,"[U R: [U2, R D' R']]"
KT,"[R D': [D2, R' U' R]]"
LT,"R U R', [D2]"
MT,"R, [U' L U]"
NT,"[U2 R: [U, R D' R']]"
PT,"[D': [R U R', D']]"
UT,"[R D R' D: [D2, R U R']]"
VT,"[D2 R: [U', R D' R']]"
WT,"[R D' R': [U, R' D R]]"
GE,"[R': [F2, R D' R' D]]"
HE,"[R U: [U2, R' D R]]"
JE,"[R' : [R2 D' R2 D R2, U']]"
KE,"[Lw' U': [U2, R D R']]"
LE,"[Lw': [U2, R' D' R]]"
ME,"[R D'U: [U2, R' D' R]]"
NE,"[R U R' D': [R' D R, U2]]"
OE,"[D R' D : [D' R D R', F2]]"
PE,"[R U: [U2, R' D' R]]"
UE,"[R UD: [U2, R' D' R]]"
VE,"[D' R UD: [U2, R' D' R]]"
